,10_Otago_00001 10_otago.,10_Otago_00002 10_otago.,10_Otago_00003 10_otago.,10_Otago_00004 10_otago.,11_Iceland_00001 11_iceland.,11_Iceland_00002 11_iceland.,11_Iceland_00003 11_iceland.,11_Iceland_00004 11_iceland.,15_Oxia_Sophia_00001 15_oxia_sophia.,15_Oxia_Sophia_00002 15_oxia_sophia.,15_Oxia_Sophia_00003 15_oxia_sophia.,15_Oxia_Sophia_00004 15_oxia_sophia.,2_Atacama_Red_00001 2_atacama_red.,2_Atacama_Red_00002 2_atacama_red.,2_Atacama_Red_00003 2_atacama_red.,2_Atacama_Red_00004 2_atacama_red.,3_Sabtha_00001 3_sabtha.,3_Sabtha_00002 3_sabtha.,3_Sabtha_00003 3_sabtha.,3_Sabtha_00004 3_sabtha.,4_Watchet_Bay_00001 4_watchet_bay.,4_Watchet_Bay_00002 4_watchet_bay.,4_Watchet_Bay_00003 4_watchet_bay.,4_Watchet_Bay_00004 4_watchet_bay.,4_Watchet_Bay_00005 4_watchet_bay.,4_Watchet_Bay_00006 4_watchet_bay.,5_Granby_00001 5_granby.,5_Granby_00002 5_granby.,5_Granby_00003 5_granby.,5_Granby_00004 5_granby.,6_Hydrothermal_Clay_00001 6_hydrothermal_clay.,6_Hydrothermal_Clay_00002 6_hydrothermal_clay.,6_Hydrothermal_Clay_00003 6_hydrothermal_clay.,6_Hydrothermal_Clay_00004 6_hydrothermal_clay.,7_Oxia_Teresa_00001 7_oxia_teresa.,7_Oxia_Teresa_00002 7_oxia_teresa.,7_Oxia_Teresa_00003 7_oxia_teresa.,7_Oxia_Teresa_00004 7_oxia_teresa.,8_Mudstone_00001 8_mudstone.,8_Mudstone_00002 8_mudstone.,8_Mudstone_00003 8_mudstone.,8_Mudstone_00004 8_mudstone.,9_Congo_00001 9_congo.,9_Congo_00002 9_congo.,9_Congo_00003 9_congo.,9_Congo_00004 9_congo.,00001 Standard.,00002 Standard.,00003 Standard.,Standard_retest_00001 Standard_retest.,Standard_retest_00002 Standard_retest.,Standard_retest_00003 Standard_retest.
1383.78010777,0.9251675554354757,0.9459156060543611,0.9567317297715328,0.9347543938644794,0.9667032019438583,0.9714787776684787,0.9841347005427984,0.9772207041559761,0.961173971246892,0.9608848786695207,0.9579452384044259,0.9602954751260855,0.9118862971050216,0.9194591559787765,0.9183970171947926,0.9113822994309455,0.8376691416735025,0.9129952109576166,0.9125117579231719,0.903005061544643,0.9671599832625882,0.9829702932135871,0.9630983814690335,0.9799227684058495,0.9789901579182471,0.9673809716150876,0.9703934936533889,0.9640826632808882,0.9430062901776456,0.9533434215877638,0.9580219876132725,0.9563296038714316,0.9554277843495042,0.9544703675581643,0.9919693791864642,0.9904728971631577,0.9939985342654314,0.9944152242532336,0.9535715055864465,0.9528987092617063,0.9477349040271641,0.9626707062853846,0.9653451698580902,0.9658497782088025,0.9537580192835825,0.9506757451585148,0.9999986296693173,0.9998945658640603,0.9953266212961319,0.9952452463519359,0.9946668711126153,0.9948509108651652
1389.40721715,0.9170810172189802,0.93412536143619,0.9502594436342829,0.9261912296225675,0.9682291212419413,0.9727255270828861,0.9850635832166326,0.9780705831424261,0.9590330326534368,0.9584447091104259,0.9560616158921645,0.9580615388583958,0.9100980166770933,0.9174778706005089,0.9158513749363963,0.9090319654671585,0.8231179826154381,0.9040618879026159,0.9025659455717109,0.893347165504469,0.9593342702535281,0.9788126775496114,0.9548508240148834,0.974496941546665,0.974089663496441,0.9598432860472687,0.9588050020141491,0.9531287677608388,0.9302394160293601,0.9412499407176774,0.9441089683241998,0.9414116612687203,0.9411616381150558,0.9401170670527798,0.9902446546172797,0.9888991816360144,0.9923627938199131,0.9925810951672194,0.9472907581746256,0.9476704072608868,0.9410023063491371,0.958472801451959,0.959053624242052,0.959542312328255,0.9470783897584722,0.9441847124876311,1.0,0.9998131671622219,0.9952463898411681,0.9952863676137799,0.9947358038557147,0.994965747110611
1395.0151167,0.9082435803215165,0.9201851138115339,0.9417860885972729,0.9156077952571287,0.9697010885052663,0.9742282295669148,0.9857397752279954,0.9788333987810068,0.9575848286882391,0.9571908274685251,0.954794601456302,0.9570086527312905,0.9082336784602862,0.9156382206296718,0.913573459661948,0.9071196639146112,0.8056687080212139,0.8940582365164929,0.8916998126889807,0.8825087055051204,0.9515561337769877,0.9747408676547203,0.9459281910509366,0.9688413033170187,0.9694021385593702,0.9516797446648545,0.9449002013820649,0.939846190139674,0.914368826729106,0.9266627339988948,0.9288024316553211,0.9252150342054948,0.9258431026285885,0.9245512269817999,0.9883237184434054,0.9869807088600029,0.9903124293757422,0.9905196073054691,0.9409513773420252,0.9423573130202101,0.933988092393793,0.9545745787434808,0.9497429874579999,0.9502880404485609,0.9366895130419275,0.9341748903916377,0.9999999999999998,0.9999889674295508,0.9952940721487292,0.9952866978929937,0.9948660474011526,0.9949602141761774
1400.60415467,0.8991073985155567,0.9048994676950736,0.9317559423334579,0.9032795155292912,0.9713950656114425,0.9759715986805872,0.9863063729443274,0.9797377746323106,0.9577174762955857,0.9575875684223132,0.955293983126795,0.9578252166674667,0.9066592536379605,0.9137054808914189,0.9116753618500905,0.9055172108051796,0.7852683575330864,0.8823204092966416,0.8789715003703721,0.8695945945329169,0.9430817196721808,0.9701617707331299,0.9361093199764198,0.9628598759668395,0.9644821063588903,0.9424658087639258,0.9302971428533777,0.9262599114130423,0.8975674774007004,0.9113214996697606,0.9139523056902541,0.9093053011298423,0.9105315118893812,0.9092321388051717,0.9868047026322576,0.9852353614225458,0.9889932912879043,0.9888901259918264,0.9356302746820304,0.9376434776318193,0.9280529842236793,0.9510898961291044,0.9387780534016391,0.9395476462015853,0.924219627944424,0.9222137705331135,0.9999999999999998,0.9998449724027129,0.9952898806813681,0.9951696969275173,0.994942954929496,0.995274418599389
1406.19775036,0.890857743620218,0.890075795949452,0.9216214655273512,0.8910808418969712,0.972900579839331,0.9778984417035383,0.9867069845349795,0.9802079103329435,0.958210764882907,0.9581461518384152,0.956272512843726,0.9591145643744601,0.9052335669260688,0.9116957216501314,0.9098135953615267,0.9037132843532335,0.7629848043101496,0.8691944646464507,0.8637316855504323,0.854650917548935,0.934775432181846,0.9649125127885806,0.9257309652501423,0.9567992230600455,0.9596089708945522,0.9327009727121465,0.9167168117243694,0.9140938961408211,0.8826502118888091,0.8974816197209342,0.9021933586105284,0.8967461556963516,0.898345307060577,0.8968297090966545,0.9852753551899308,0.983880088233517,0.9878194373495879,0.9877926713726161,0.9310181371288356,0.9332099076696995,0.9228865194051975,0.9477107879502297,0.9291143797358449,0.9299776161875167,0.9129178189991861,0.9113187109835658,0.9999999999999998,0.9999787106373789,0.9951984018133246,0.9951886249120497,0.9952153845146955,0.9953861518176206
1411.81328293,0.8861397965938543,0.8790318280396301,0.9141024205773286,0.8826604825747156,0.9745846899366123,0.9795703952734105,0.9865624424742507,0.9810890806076618,0.9586313911117655,0.9585820105962632,0.9570927818181322,0.959944885117865,0.903978227742594,0.9098117942783643,0.9078292080009427,0.9018829309677282,0.7408641373846492,0.8550798750400995,0.8468273709957164,0.838799241742713,0.9286847060548319,0.9604746860925284,0.9161266525934126,0.9517145746336496,0.9558438262093629,0.9241537013095276,0.9068409406127741,0.9056747490024211,0.8718982213186154,0.8877015904003414,0.8974074283026229,0.8916650982357753,0.8933049778467415,0.8916314503703666,0.9840742231254999,0.9829759371447475,0.9870445823225792,0.9868931682181818,0.9289787153039637,0.9309087449090712,0.9204180911115198,0.9459064499422227,0.9243794390020432,0.9251230399176281,0.9070253102191521,0.9057548674239613,0.9999999999999998,0.9999488152544936,0.9950676008812332,0.9953638249320137,0.9952502704456332,0.9953190185035318
1417.45083527,0.887478457643556,0.8746613289062366,0.9108109446375304,0.8812887673527233,0.9763080814718695,0.9811176177935467,0.9868782049050484,0.9821602666394982,0.9594764549964377,0.959848323804339,0.9584496197230623,0.9611078499165104,0.9027966704322355,0.9080521603804088,0.906329689522477,0.900179334458286,0.7208242919451621,0.8411638128756371,0.8301363050140028,0.823394998759613,0.9259169429021926,0.9579852590480826,0.9083696914001684,0.9485375553987252,0.9538376211976813,0.9176156491528061,0.9019906674711614,0.9021306036143825,0.8671323813245869,0.8831615515364994,0.9014440093990472,0.8959704296919614,0.8973135487624835,0.8957247518110651,0.9837127233280796,0.9824036490377007,0.9864821618987375,0.9864096609895368,0.9329854429816911,0.9349071418978021,0.9247626345666802,0.9493481799080793,0.9262452329119366,0.9269269275836305,0.9093496780254956,0.9081652186927618,1.0,1.0,0.9948423814978693,0.9953695908397036,0.9952697006634064,0.9953430687851718
1423.11049053,0.8930593950883187,0.8754733040708416,0.9116132180272585,0.8859480854176868,0.977845059877295,0.9823968615889486,0.9873748545121012,0.9832982237455337,0.960909535128276,0.961895923829849,0.9606755948757999,0.9629745704480941,0.9020262251515041,0.9066911004588429,0.9052013522201621,0.8990335111018395,0.7040723358716412,0.8281697037114816,0.8147712843284707,0.8097238764958783,0.9259937150883446,0.9565553966975365,0.9019848449019983,0.9470461773657538,0.9533594647232646,0.9123706199222361,0.9019621243658476,0.902645335820177,0.867988534458033,0.8835936177689508,0.9107619848614901,0.905762019234582,0.906790012787239,0.9052608558669792,0.9833707684461747,0.9824194783214019,0.9862392747831975,0.9861322924649469,0.941798431308516,0.943545635215276,0.9342515950946682,0.9563372560071909,0.9339272425864924,0.9341941531862551,0.9184206584571095,0.9172092314231503,0.9999999999999998,1.0,0.9944825164449729,0.995522380161081,0.9951540926199665,0.9953392965181991
1428.79233216,0.8994791297166995,0.8789978792653474,0.9148040242815494,0.8929513499180521,0.9796809263222145,0.983611287965405,0.9882213998917979,0.98432030343191,0.9629038731869535,0.96391152394606,0.9627157356065011,0.9648313611176091,0.9012505693676801,0.905331156218377,0.9043563601682268,0.8981228846749031,0.6907458283130612,0.8165545813910497,0.8006415031659082,0.7974708499595795,0.9260491326208914,0.9549368598261089,0.8948759693649966,0.9456542895867467,0.9530744585679839,0.90676045879119,0.9055328535746182,0.9065834197927549,0.8732140683411274,0.8884068254043866,0.9211839594733843,0.9167349769258538,0.9174555516683367,0.9162362273055767,0.9835995596894621,0.9831663542807522,0.9861655576886765,0.9861209960338463,0.9511105782247673,0.9524365259580977,0.9434120067496861,0.9629796717482877,0.9442486412813824,0.9437909024469753,0.9301610887307169,0.9289106889541092,1.0,1.0,0.994203872099456,0.9954967435964747,0.9952275140030298,0.9952714414569636
1434.4964439,0.9051999246147598,0.8836330590981287,0.9185864409707553,0.9005510768880043,0.9817697172501849,0.9850157374110222,0.9890994091551143,0.985572977397071,0.9650609397050591,0.9660069218416878,0.9648093151929636,0.966757933913562,0.9005944039686661,0.903835905771382,0.9033543664883535,0.897301278526126,0.6798148906195994,0.8055719708553568,0.7869819295298844,0.7860304035187329,0.9245455874371216,0.9522406526095771,0.8858593825228165,0.9431066832161302,0.9518887204993137,0.8987955087462776,0.9115997375584206,0.9122711292816196,0.880542503903373,0.8956529815857851,0.9306476559042715,0.9268989815527003,0.9272422348972216,0.9264520939122791,0.9843505563052422,0.9844603558127711,0.9866219810280441,0.9863188718092633,0.9590340845136067,0.9597167851426457,0.9504696011695425,0.9687467623329361,0.9540062344559125,0.9530029474711111,0.9411533806635082,0.9397393232617302,0.9999999999999998,1.0,0.9938674070040545,0.9958264159969361,0.995293371887515,0.9954833222660655
1440.21938683,0.9102221606416089,0.8885688528774753,0.9221415887733875,0.9071120432421111,0.9839206124914571,0.9863950423446313,0.9900486746985466,0.9866394778175513,0.967081884530507,0.967616355801004,0.9668465172069335,0.9685030450254579,0.8998228738943626,0.9022399566029772,0.9020493012303772,0.8964108842162661,0.6713140358838152,0.7962599062840222,0.7749828655876791,0.7765669075810185,0.9219389376662178,0.9485438905940203,0.8760498563895956,0.939526387067958,0.9496004188024603,0.8900512334572686,0.9182728179521105,0.9184812949712311,0.8884489014785029,0.9032138019003005,0.9387919937530781,0.9353630602751354,0.9350154376637463,0.9350487531322553,0.9852257217144963,0.9852644717000976,0.9869281895750553,0.9868428929637838,0.9646301551435731,0.965098743263524,0.9560217541913941,0.9732509089267014,0.9614949706385725,0.9604067069825921,0.9494929977372336,0.9477592650895682,1.0,0.9999657220474076,0.9932127149494602,0.9958903536562284,0.9952289347700657,0.9952613847146046
1445.9515979,0.9142297925778874,0.8931968194185553,0.9256776433456995,0.9130549051464213,0.9858656805083444,0.9876096603403302,0.9909768517080634,0.9875617674127545,0.9690223150692777,0.9692472617999386,0.9685923121673401,0.9700625619712868,0.8992671812888895,0.9013339193975779,0.90095391652707,0.8958570051573078,0.6667956239927785,0.790995298728736,0.7682972768996819,0.7714373619477677,0.9213035283565327,0.9466253452213617,0.8713236772515262,0.9379424070960823,0.9487389759743338,0.8858092280541633,0.9245410979962347,0.9241768832902671,0.8958026853580144,0.9103710308443504,0.9450704647674882,0.9420649733980532,0.9415006463003794,0.9417223918669179,0.9859705569151496,0.9860135932438702,0.9877009812235042,0.9877706785906063,0.968530837621815,0.9690224253513094,0.960768902340097,0.9764036899246493,0.967076047595202,0.9656192074283811,0.9555473914191411,0.9536852016206232,0.9999999999999998,1.0,0.9928618570038846,0.9956142106749933,0.9951681092500194,0.9952271286523194
1451.69304835,0.9178582075369343,0.8974585061880413,0.9288901528249751,0.9177484068048677,0.9873691235943312,0.9889659994495695,0.9919004718751494,0.9883739123473811,0.9709539238877403,0.9707540185176385,0.9702833805153187,0.9717115673008251,0.8989618750878028,0.9008685268429486,0.9008556818642972,0.8957604618947574,0.6664788845898909,0.7906179765301976,0.7676559745693489,0.7717193424354266,0.924113086424786,0.9480181172440921,0.8741199259815156,0.9397979317597258,0.9502674193122997,0.8886786493519822,0.9298285422625757,0.9285571605443272,0.901880341595265,0.916229821667819,0.9500204557738254,0.9472376592238535,0.9465722878651042,0.9467188738557477,0.9866165205142564,0.9869651699958453,0.9884073660313207,0.9885158216433321,0.9716786696287222,0.9717437048929544,0.9644706647873655,0.9787287394387335,0.9710307611379182,0.9692274864853858,0.9598279451981541,0.9583480065604317,1.0,1.0,0.9924172747654282,0.9954865743630266,0.9951225294606435,0.9953402366130599
1457.44370948,0.9211353964836908,0.9013905651896966,0.931895972669359,0.9217071427108076,0.9883695202260881,0.9903273728345008,0.9926789288052528,0.9889544657581933,0.9727321773293858,0.9726907266415884,0.971711510740287,0.9732352157743726,0.8991071730437337,0.9009153009089499,0.9011966858370687,0.8960590690560465,0.6683565941545424,0.7930220606062581,0.7709781887448022,0.7749587629281028,0.9284738239947202,0.9509589664855232,0.8809935347156986,0.9433214364137315,0.9531070403446179,0.8950763957852289,0.9337653513151009,0.9322100061747867,0.9070686604127571,0.9207374901864707,0.9539893949613426,0.9515562646424442,0.9508029884508868,0.950828018169967,0.9877891037396631,0.9878155186375511,0.9891367343666507,0.9894383976423206,0.9747493304272127,0.9740632493863911,0.9671474019040553,0.9801736799778692,0.9735097023202679,0.9719910213154677,0.9631309195455824,0.9618451169334097,1.0,1.0,0.9922567814635228,0.9953721169477475,0.9949446234968561,0.9953786544645062
1463.20355265,0.9242964909219745,0.9049122153183665,0.9344270349518164,0.9249603275321427,0.9893264515965922,0.9919524272429778,0.9933623182685187,0.9897774962777212,0.9744371195165775,0.974588584618067,0.9731223873623386,0.97487138624757,0.8993720259943497,0.9013721735709702,0.9015961272333846,0.8960886032427513,0.6708381363341436,0.7964564967072755,0.7751481408975166,0.7786190114882644,0.932536050484622,0.953700056032581,0.8870282230944856,0.94653033115665,0.9558504372978268,0.9007162379568949,0.9372191085928762,0.9360083071696695,0.9115530666227897,0.9245590266895053,0.9575316292710894,0.9553970741067657,0.9544615559999122,0.9546885628686032,0.9889300617676607,0.9887930387468684,0.9898446430722654,0.9899082685962357,0.9773237158819142,0.9763272763719201,0.9694743188734755,0.9814051392960599,0.975636151261332,0.974626277036509,0.9660261371879914,0.9656135663654515,1.0,1.0,0.992019580872502,0.9953552188351992,0.9948833299646552,0.9951492090846472
1468.97254925,0.9276962800636693,0.9090168112684744,0.937427811568658,0.9289958710947115,0.9902809960825294,0.9934160826122506,0.9939738816135028,0.99080253527029,0.9760011178416521,0.9765676624838061,0.9745873542316265,0.9766490072505652,0.8998817284191217,0.9019434307032833,0.9018839941909106,0.896196580601855,0.6732909621095606,0.7994797331030681,0.7792081367364764,0.7818108278655697,0.9356565087355231,0.9558309353454347,0.8913162181694447,0.949067940654367,0.957819824411564,0.9048667546529765,0.9411609930894077,0.9407198333645578,0.9172336169296346,0.9289332580025175,0.9610321073228113,0.9588719118640303,0.9581875842034641,0.958510088316152,0.9898152341360389,0.9898471351519894,0.9902816918851297,0.9905228928493964,0.9792536823820382,0.9784632827708106,0.971875573463536,0.9824625656106056,0.9777151950931645,0.9769707681804716,0.9686356053063255,0.9692268193510316,1.0,1.0,0.9917836698152629,0.9952517283451122,0.9947681173095925,0.9952582662602528
1474.75040717,0.9316323608558531,0.9140695241690817,0.9409687868708645,0.9335922806291992,0.9914407514147688,0.994554804149645,0.994716385338237,0.9920889900605391,0.9774336590623243,0.9782463254351138,0.9760024524925062,0.978067320553044,0.9002459345282915,0.9026527506719116,0.9019194861687531,0.8965905829472949,0.6753330092162437,0.8020881950160709,0.7828465229291088,0.7847913305874149,0.9381229201850554,0.9573872205701456,0.8941029318250594,0.9508840581765693,0.9597261978367483,0.9075560157817367,0.945676868341965,0.9460531779528696,0.9239211714882859,0.934877514188772,0.9647287349284082,0.9628914906633202,0.961809949573754,0.9625924221118454,0.9907883448910233,0.9908910380245906,0.9912511359948587,0.991103572180084,0.9806785158032227,0.980713968151845,0.9739940633934339,0.9839670287129181,0.9794333620742862,0.9790804238029764,0.9710987557732761,0.9718557224897563,1.0,1.0,0.9915503717177269,0.9951933861344455,0.994797243706595,0.9950999363785299
1480.53455271,0.935796960266855,0.9197491580966561,0.945187797865485,0.9385357379102083,0.9929449110437168,0.9956522957680564,0.9958069376543848,0.9937429079003947,0.9792761196339164,0.9800617191011001,0.9777619937842833,0.9797929945378094,0.9004450834796603,0.9031901537627208,0.9020787498711591,0.8969187762846623,0.6771450731726765,0.8046093206788055,0.7854525240885571,0.7870570310778916,0.9399259965570955,0.9583790586515685,0.8952126870418657,0.9520635458316257,0.9612194657069708,0.9087716596382701,0.9508279090990833,0.9512168597815,0.9308362857527457,0.9413164941662531,0.968581141152184,0.9671528673633882,0.9655885794838566,0.9666225979649872,0.9917438107769737,0.9922827080477247,0.9924193551761351,0.9922664116965455,0.9816592229558416,0.9827314124753475,0.9760136142028643,0.985358386971418,0.981446571185696,0.9810323634539321,0.9734133885287835,0.9744104767257458,0.9999999999999998,0.9999723152815402,0.991339603684018,0.995318514981521,0.994926169802512,0.9952064452436599
1486.32495713,0.9398731289968727,0.9259029746240404,0.9495117948349382,0.9433214082731716,0.9942766325410229,0.9963538204967299,0.9965164294445669,0.995029847693989,0.9814508525171487,0.9814867558463127,0.9798901855092094,0.9816050598762649,0.9006553487363951,0.9033455611078929,0.9023808091599334,0.8970481190255101,0.6788221542721147,0.8069517509997232,0.7876044921581123,0.7893589450552692,0.9415002660046132,0.9588911984907097,0.8958021911018277,0.9530797695899491,0.9622106983734199,0.9093374303506698,0.9558196075531432,0.9564936718181093,0.9373511418404555,0.9470608446574045,0.9720214886050957,0.9709827817943882,0.9692021707530976,0.9705843500569459,0.9925614906172516,0.9934682794504605,0.9936430534744376,0.9934779892908675,0.9830081467891298,0.9841532891854496,0.9775304459762066,0.9869038080250584,0.983387377210441,0.9823956147641942,0.9757638354133352,0.976765030859638,0.9999999999999998,0.9999245777994201,0.9909915981950507,0.9955573230833862,0.9951384073572982,0.9953530145594166
1492.12159183,0.9436259134104296,0.931801766606489,0.9539128044048473,0.9477866922665169,0.995174012044198,0.9967582872441488,0.9966991571177042,0.9955383430861263,0.9832610786073216,0.9830144797082885,0.9815511375038226,0.983718586203906,0.9007255641823293,0.9034309371590244,0.9029139195898186,0.8968835438118066,0.6817701844318034,0.8102729303811691,0.7912398893455944,0.7933228436650495,0.9435797480850683,0.9599318385446967,0.898360804960962,0.9545772086973234,0.9634572115071599,0.9115143113114663,0.9608615229774927,0.9612540710714746,0.9432899872638109,0.9521835897047737,0.9752699420308473,0.9743579898628104,0.9727042711740285,0.9741517304667325,0.9935484382119076,0.9945588193209441,0.9950395280161914,0.9945297910636738,0.9844833750444676,0.985135074228881,0.9790472196723592,0.9884376989637853,0.9853589647309567,0.9834968045626231,0.9778062048071282,0.978890129223371,1.0,1.0,0.9906353446924372,0.9955552497847507,0.9951766186886534,0.9954561978534313
1497.92442836,0.9474982960926773,0.9375805631124728,0.9581308100397103,0.9519555733579758,0.996108872827763,0.9972960041104748,0.9968822547434637,0.9958954616927227,0.9850245455986307,0.9845325424573431,0.9833188348699592,0.985490033749085,0.9009294912916399,0.9037000535147763,0.9037669870021348,0.8969994577516526,0.6865093427580364,0.8154755778976488,0.7973720557136171,0.7989492500643324,0.9471989446295225,0.9622605240598552,0.9040748432666769,0.9574326879345,0.9658349819363493,0.9165425422790384,0.9659446525025526,0.9654555489763365,0.9490774418394675,0.9572602158031875,0.9784026709622076,0.9776116154495147,0.9761120979151747,0.9773536599470808,0.9945837658683797,0.99520690595892,0.9959898239408672,0.995487912681338,0.9858357522866154,0.9867080798088664,0.980857398786485,0.9901184016038703,0.9870194641593185,0.9849814064381037,0.9795697165845891,0.9808370760881148,1.0,0.9999716626585935,0.9907084453577146,0.9955380091470921,0.9952125298730328,0.9952814541110946
1503.73343845,0.951184694182876,0.9431309739944156,0.9617186546920796,0.9554803593496036,0.9969120097396998,0.9976862200085013,0.997357558475476,0.9960461921437658,0.9867703842887278,0.986335107750426,0.985124922184392,0.9872455347221946,0.9009061819023111,0.9039661790314264,0.9047153024389849,0.8972208556644883,0.6921202535663401,0.8214122681435752,0.8043704273021757,0.8056084957274815,0.9514004229092385,0.9657611170828704,0.9111795159203425,0.960937196936704,0.968533571755977,0.9231378106378012,0.9704638580479035,0.9692830988820048,0.9548846960201142,0.9621127881555662,0.9812823377705159,0.980413958668477,0.979359946217507,0.9803221830163852,0.9956316118037097,0.9957654012946355,0.9967799830324342,0.9962302413782699,0.9873703816539912,0.9882668672919176,0.9824329414900155,0.9920991416708023,0.9884990220588066,0.9863969043254232,0.9816000746119706,0.9826581554785301,0.9999999999999998,0.9999724012473861,0.9903410253205356,0.995430306427093,0.9950831649168494,0.9951798830269244
1509.54899004,0.9545883627152717,0.9484626466395096,0.9650163175761994,0.9587164803282128,0.9976995194310505,0.9979891163486595,0.9980849076297421,0.9963152766121586,0.9886764947225024,0.9881524006292707,0.9868407372726605,0.9889974277270275,0.9008379284471579,0.9041193451921608,0.9057056832458016,0.8974439337534763,0.697091478093019,0.8266528083923703,0.8108813255919769,0.811478677133304,0.9555108608489994,0.9688113309395001,0.9169495879422723,0.9637626991565708,0.9706356044011081,0.9289185112070055,0.9744226534914637,0.9728007313189051,0.9601503267777018,0.9665134504243009,0.9841718936625711,0.9831517487945075,0.9826409181375999,0.9833116099272541,0.9965044717847362,0.9964143756777833,0.9977375520293523,0.9970022557423072,0.9892997219026612,0.9898030461411147,0.9841251385126251,0.993800781133144,0.9899025763952399,0.9881667568570642,0.9836498687381386,0.9846468939474409,0.9999999999999998,0.99998488387836,0.9899668580766972,0.9954494982836595,0.9948677490974203,0.9951540099536782
1515.38336105,0.9578679106919633,0.9534729520005087,0.9682834769492754,0.9615846431766232,0.9986041395485203,0.998279254574095,0.9987286388247163,0.9967308672477455,0.9905347546186396,0.9900274333670108,0.9884327547007108,0.9904249930314698,0.9011185525169711,0.9042825143839561,0.9065789576746617,0.8972972426772403,0.700945798036682,0.8305221565360292,0.815898418039275,0.8160055683544354,0.9581501223393993,0.9708569020389681,0.9207002981064403,0.9656378247302566,0.9717669095014008,0.9326296023879348,0.9778972664948988,0.9757541358579522,0.9649003301247878,0.9703666925089589,0.9867199076520886,0.9857812836442899,0.9855205885074863,0.985865586659757,0.9976890436690846,0.9973836824524922,0.9987534057394178,0.9974724077597713,0.991375922543387,0.9911560312907136,0.9858009171775269,0.9953560639386044,0.9917360050540922,0.9898595821143534,0.9855646391988245,0.9864443070384254,0.9999999999999998,0.9999286921637343,0.9896318017912871,0.9954854154207488,0.9950094466324141,0.995188627501738
1521.23658861,0.9609674984265338,0.9577784431928011,0.9711413649566665,0.9646007723987773,0.9992682839799087,0.9985584715318657,0.9990965281230217,0.9974687230929388,0.9919508691523101,0.99157635009715,0.9900611075369684,0.9918400640417167,0.901517630205932,0.9043491966488278,0.9072586085279831,0.8970284535404048,0.7036852661195735,0.8331348240261368,0.8193962760341185,0.8191050999348598,0.959770969397149,0.9717868869307652,0.9223888634496064,0.966484088425257,0.9722441657011716,0.934167361518002,0.9811815477385895,0.9782673620514721,0.9692475161678532,0.9737388061409159,0.9888263779357619,0.9879505005165874,0.9876846217719921,0.987892937483723,0.9983589445280078,0.9979157600972735,0.9993287673605679,0.9978588969215955,0.9926304510758258,0.992386810884897,0.9869579337202719,0.9962197895017408,0.9929508711127539,0.9908050300551321,0.986929495344746,0.9878553295595554,0.9999999999999998,1.0,0.9893666817254505,0.9955349863411305,0.9952371952977405,0.9949797540622096
1527.10870977,0.9635879232194056,0.9612721652471369,0.9733229812781622,0.9674375100089992,0.999613050481223,0.9986240887351249,0.99909858549445,0.9983328841397764,0.9931384561259455,0.9925529569768347,0.9911253701440041,0.9929654365070357,0.9014556944184564,0.9043616583970713,0.9074950842404809,0.8966555725099644,0.7053634415551431,0.834901133062117,0.8216718166079008,0.821066885821112,0.9606199512897254,0.9720826599940995,0.9228747522112846,0.967001793565969,0.9722297323272905,0.9344310332225612,0.9836698426038902,0.9805626381372354,0.972838726892986,0.9762095466745558,0.9904858777540329,0.9896064653337538,0.9892363557319381,0.9895985881402387,0.9989028773561477,0.998043379568672,0.9993911159179357,0.9981286619280753,0.9936857013306549,0.9935056577452736,0.988172356873865,0.9961536377409579,0.9934329086578315,0.9911286626204444,0.9881012002524525,0.9888219985920571,0.9999999999999998,1.0,0.9889780633242047,0.9954278796491556,0.9949434935831852,0.9949000000879752
1532.99976154,0.9660893446537518,0.9643893856536347,0.9752362783425289,0.9703962131305925,0.9998157430131718,0.9987205775004016,0.9996094954975399,0.9989839342850279,0.9939789535462924,0.9934324952109537,0.9920256614134596,0.9935942353158742,0.9013401516597372,0.9043136283398892,0.9077380135844045,0.8966448137983845,0.7077265971623831,0.8370555699614599,0.8241115069759628,0.8233005673343303,0.961445624932891,0.9721337327957041,0.9234787839243619,0.9670794805374622,0.9723091697575291,0.9349001838129374,0.985857081783142,0.9830149476551577,0.9757902298379808,0.9784358658790876,0.9918830672847588,0.9913887182493256,0.9905734671226063,0.9911896681119577,0.9992823854028683,0.9984547148811318,0.9994542336221879,0.9985075952676497,0.9944422527829545,0.9941947762107671,0.9893352172788811,0.9959372630294226,0.993954322722568,0.9914192483196913,0.9891726683865317,0.9896649440980303,1.0,1.0,0.9885189080066111,0.995319881237159,0.9946698471471538,0.9948624536222155
